Nr.,Bezeichnung,Hinterlegung
1,"""1. Demokratische Partei Österreichs""",13.08.1993
2,"""99-eins"", Kurzbezeichnung ""991""",08.05.2013
3,"""A.L.R. Partei für authentische Lebensräume""",02.05.2000
4,"""Abendländisch-National-Europäische Union (ANEU)""",31.05.1995
5,"""AKTION CHRISTLICHES EUROPA (ACE)""",06.04.1998
6,"""Aktion für humanistische Medizin"", Abkürzung ""AFM""",09.11.1993
7,"""Aktion Neue Rechte - ANR""",24.09.1975
8,"""AKTION UMWELT SPIEGEL""",25.05.1992
9,"""Aktionistische Partei Ostösterreichs"" (A.P.O.)",20.12.1983
10,"""AktionsGemeinschaft Kärntner Studenten"", abgekürzt ""AG""",13.09.1995
11,"""AL/VGÖ Wahlgemeinschaft Vorarlberg"", Abkürzung ""GRÜNE""",16.09.1988
12,"""ALLGEMEINE PARTEI ÖSTERREICHS"", kurz ""APÖ""",08.02.1983
13,"""Allianz für Österreichs Zukunft""",27.04.1990
14,"""Alpine Pogo Partei Österreich"", Kurzbezeichnung ""APPÖ""",30.06.2006
15,"""Alternative Basisliste"" (ALB)",19.06.1986
16,"""ALTERNATIVE BEWEGUNG ÖSTERREICHS (ABÖ)""",19.11.1982
17,"""Alternative für Österreich - neu (AfÖn)"", Kurzbezeichnung ""AfÖn""",16.09.2013
18,"""Alternative für Österreich (AfÖ)""",14.04.2013
19,"""ALTERNATIVE LISTE (AL)""",19.11.1982
20,"""ALTERNATIVE LISTE BURGENLAND - FÜR DEMOKRATIE UND UMWELTSCHUTZ"" (AL - BGLD)",27.01.1983
21,"""Alternative Liste Graz""",15.02.1988
22,"""Alternative Liste Heidenreichstein"" (ALH)",28.04.1983
23,"""ALTERNATIVE LISTE KÄRNTEN FÜR DEMOKRATIE UND UMWELTSCHUTZ""",17.01.1983
24,"""Alternative Liste Linz (ALL)""",09.08.1984
25,"""ALTERNATIVE LISTE NIEDERÖSTERREICH - FÜR DEMOKRATIE UND UMWELTSCHUTZ"" (AL-NÖ)",21.10.1982
26,"""Alternative Liste Oberösterreich"" (ALOÖ)",07.12.1982
27,"""ALTERNATIVE LISTE ÖSTERREICH - DIE GRÜNEN ALTERNATIVEN (ALÖ)""",19.11.1982
28,"""ALTERNATIVE LISTE ÖSTERREICH - FÜR DEMOKRATIE UND UMWELTSCHUTZ (ALÖ)""",19.11.1982
29,"""ALTERNATIVE LISTE ÖSTERREICH (ALÖ)""",10.11.1982
30,"""Alternative Liste Österreichs - ALÖ""",27.09.1982
31,"""ALTERNATIVE LISTE ÖSTERREICHS"", Kurzbezeichnung ""ALÖ""",08.11.1982
32,"""Alternative Liste Salzburg - für Demokratie und Umweltschutz"" ALS",19.01.1983
33,"""ALTERNATIVE LISTE SALZBURG""",07.04.1982
34,"""ALTERNATIVE LISTE STEIERMARK""",27.10.1982
35,"""Alternative Liste Tirol""",21.01.1983
36,"""Alternative Liste Vorarlberg (ALV)""",09.12.1987
37,"""Alternative Liste Vorarlberg (ALV)""",22.12.1987
38,"""Alternative Liste Wels (ALWE)""",21.11.1983
39,"""ALTERNATIVE LISTE WIEN - Für Demokratie und Umweltschutz"", Kurzform ""AL-Wien""",03.02.1983
40,"""ALTERNATIVE LISTE WIEN"" (ALW)",28.06.1982
41,"""alternative liste wiener neustadt - für demokratie und umweltschutz""",10.02.1983
42,"""Alternative Sozialisten - Partei des sozialen und gesellschaftlichen Fortschritts""",02.03.1990
43,"""Alternatives Forum Pottendorf (AFP)""",20.07.1994
44,"""Alternativ-Grüne Initiative Luftenberg"", Kurzform ""AGIL""",28.09.1983
45,"""AMERIKANISCHE PARTEI"" in Österreich, Kurzbezeichnung ""APÖ""",24.06.1980
46,"""Anarchistische Aktionsgruppen"" (A.A.G.)",14.10.1983
47,"""ANARCHISTISCHE PARTEI ÖSTERREICHS"" (APÖ)",14.06.1982
48,"""Anti Aids Initiative (aAI)""",14.04.1987
